ID,Community Number
1,45
2,655
3,45
4,0
5,122
6,655
7,655
8,655
9,655
10,500
11,45
12,45
13,419
14,655
15,1
16,500
17,2
18,410
19,45
20,95
21,45
22,655
23,45
24,655
25,3
26,45
27,655
28,655
29,330
30,4
31,5
32,655
33,655
34,6
35,655
36,45
37,7
38,655
39,88
40,12
41,655
42,45
43,8
44,45
45,655
46,8
47,655
48,655
49,655
50,655
51,349
52,655
53,655
54,45
55,655
56,36
57,655
58,655
59,655
60,508
61,655
62,655
63,655
64,655
65,655
66,88
67,655
68,655
69,655
70,45
71,655
72,498
73,45
74,45
75,655
76,45
77,45
78,655
79,500
80,45
81,8
82,500
83,655
84,655
85,45
86,655
87,500
88,655
89,500
90,9
91,655
92,36
93,45
94,36
95,45
96,655
97,90
98,410
99,45
100,45
101,10
102,655
103,45
104,45
105,655
106,655
107,655
108,11
109,655
110,45
111,655
112,655
113,12
114,500
115,655
116,45
117,500
118,8
119,500
120,655
121,500
122,95
123,45
124,45
125,500
126,655
127,508
128,655
129,36
130,655
131,655
132,248
133,45
134,655
135,655
136,45
137,655
138,45
139,500
140,655
141,500
142,655
143,147
144,655
145,655
146,13
147,95
148,45
149,655
150,36
151,419
152,500
153,45
154,410
155,655
156,655
157,655
158,655
159,45
160,655
161,655
162,655
163,36
164,14
165,45
166,45
167,15
168,655
169,45
170,655
171,45
172,655
173,655
174,500
175,419
176,655
177,45
178,45
179,500
180,655
181,45
182,45
183,655
184,45
185,45
186,500
187,655
188,410
189,45
190,655
191,655
192,45
193,655
194,655
195,16
196,17
197,655
198,655
199,18
200,655
201,45
202,36
203,45
204,19
205,500
206,20
207,655
208,655
209,500
210,655
211,45
212,655
213,655
214,45
215,655
216,655
217,500
218,45
219,21
220,655
221,655
222,36
223,500
224,45
225,248
226,45
227,45
228,655
229,655
230,655
231,655
232,45
233,655
234,36
235,655
236,500
237,45
238,655
239,22
240,655
241,8
242,500
243,23
244,655
245,24
246,45
247,500
248,655
249,655
250,45
251,655
252,500
253,8
254,500
255,500
256,248
257,655
258,45
259,45
260,655
261,8
262,655
263,45
264,500
265,655
266,8
267,25
268,655
269,45
270,500
271,500
272,45
273,45
274,127
275,500
276,500
277,45
278,26
279,655
280,45
281,500
282,45
283,655
284,655
285,36
286,472
287,655
288,8
289,500
290,500
291,500
292,45
293,655
294,248
295,45
296,500
297,500
298,655
299,45
300,500
301,500
302,655
303,655
304,500
305,655
306,655
307,655
308,655
309,45
310,45
311,655
312,45
313,8
314,419
315,45
316,655
317,500
318,27
319,500
320,45
321,655
322,655
323,28
324,655
325,655
326,655
327,655
328,655
329,500
330,36
331,29
332,655
333,655
334,655
335,30
336,655
337,655
338,500
339,655
340,655
341,655
342,500
343,45
344,45
345,500
346,410
347,13
348,655
349,655
350,31
351,655
352,655
353,45
354,655
355,45
356,45
357,45
358,655
359,655
360,655
361,500
362,45
363,45
364,45
365,32
366,45
367,45
368,13
369,500
370,33
371,500
372,655
373,45
374,655
375,655
376,45
377,45
378,45
379,45
380,655
381,655
382,655
383,45
384,655
385,655
386,45
387,655
388,655
389,34
390,36
391,655
392,508
393,36
394,500
395,45
396,655
397,69
398,500
399,8
400,655
401,8
402,655
403,500
404,655
405,655
406,655
407,655
408,8
409,500
410,655
411,35
412,655
413,45
414,655
415,655
416,36
417,8
418,655
419,655
420,655
421,45
422,655
423,8
424,500
425,69
426,655
427,655
428,655
429,45
430,508
431,655
432,655
433,655
434,45
435,655
436,45
437,45
438,45
439,45
440,655
441,45
442,655
443,655
444,655
445,655
446,655
447,655
448,655
449,419
450,45
451,655
452,655
453,8
454,655
455,36
456,36
457,37
458,508
459,419
460,330
461,95
462,655
463,45
464,500
465,45
466,655
467,655
468,45
469,36
470,500
471,655
472,655
473,95
474,655
475,38
476,655
477,45
478,655
479,655
480,500
481,655
482,655
483,500
484,655
485,39
486,45
487,8
488,655
489,655
490,500
491,248
492,655
493,500
494,500
495,655
496,500
497,40
498,655
499,8
500,500
501,8
502,500
503,45
504,45
505,655
506,655
507,41
508,45
509,655
510,500
511,655
512,45
513,655
514,45
515,45
516,655
517,655
518,8
519,500
520,655
521,42
522,655
523,655
524,655
525,655
526,45
527,655
528,655
529,64
530,655
531,655
532,655
533,500
534,655
535,43
536,655
537,45
538,8
539,44
540,45
541,500
542,655
543,655
544,655
545,500
546,8
547,655
548,500
549,45
550,655
551,45
552,500
553,508
554,36
555,46
556,47
557,500
558,36
559,45
560,500
561,36
562,655
563,655
564,655
565,655
566,655
567,45
568,500
569,551
570,48
571,500
572,419
573,29
574,500
575,200
576,500
577,655
578,655
579,45
580,45
581,419
582,13
583,655
584,49
585,655
586,655
587,500
588,45
589,50
590,655
591,655
592,655
593,655
594,51
595,655
596,655
597,655
598,655
599,655
600,655
601,45
602,655
603,655
604,655
605,655
606,52
607,45
608,655
609,500
610,655
611,53
612,500
613,45
614,655
615,655
616,655
617,655
618,500
619,45
620,508
621,655
622,500
623,8
624,655
625,45
626,655
627,655
628,45
629,655
630,655
631,45
632,45
633,655
634,500
635,500
636,655
637,655
638,655
639,655
640,45
641,45
642,45
643,655
644,45
645,655
646,419
647,45
648,500
649,655
650,45
651,330
652,655
653,54
654,655
655,655
656,500
657,655
658,655
659,500
660,500
661,655
662,248
663,655
664,655
665,55
666,655
667,45
668,500
669,45
670,655
671,655
672,655
673,655
674,45
675,45
676,500
677,500
678,655
679,655
680,655
681,56
682,655
683,57
684,655
685,500
686,655
687,500
688,500
689,655
690,182
691,655
692,45
693,500
694,36
695,45
696,500
697,45
698,58
699,410
700,655
701,655
702,655
703,45
704,59
705,655
706,45
707,655
708,655
709,457
710,655
711,655
712,655
713,500
714,8
715,655
716,45
717,655
718,655
719,500
720,500
721,45
722,655
723,3
724,45
725,655
726,655
727,655
728,508
729,655
730,60
731,655
732,500
733,95
734,45
735,655
736,500
737,655
738,655
739,508
740,655
741,500
742,45
743,45
744,45
745,655
746,45
747,655
748,500
749,8
750,655
751,112
752,45
753,61
754,62
755,655
756,45
757,45
758,500
759,36
760,88
761,655
762,95
763,63
764,500
765,655
766,45
767,655
768,500
769,655
770,655
771,500
772,8
773,64
774,500
775,45
776,655
777,127
778,655
779,8
780,8
781,500
782,45
783,78
784,655
785,655
786,65
787,45
788,45
789,45
790,655
791,655
792,500
793,655
794,248
795,655
796,655
797,45
798,66
799,45
800,67
801,655
802,45
803,655
804,655
805,8
806,68
807,45
808,419
809,36
810,655
811,655
812,95
813,508
814,69
815,8
816,349
817,45
818,655
819,655
820,45
821,655
822,500
823,70
824,45
825,45
826,655
827,655
828,500
829,8
830,655
831,655
832,655
833,655
834,95
835,655
836,655
837,655
838,655
839,655
840,655
841,45
842,655
843,45
844,655
845,12
846,655
847,655
848,655
849,655
850,71
851,500
852,248
853,655
854,45
855,45
856,45
857,500
858,500
859,655
860,655
861,500
862,655
863,45
864,327
865,45
866,72
867,73
868,74
869,45
870,45
871,500
872,655
873,45
874,655
875,45
876,500
877,500
878,8
879,655
880,349
881,655
882,75
883,655
884,655
885,655
886,655
887,655
888,36
889,500
890,36
891,76
892,655
893,655
894,500
895,655
896,77
897,45
898,500
899,655
900,45
901,78
902,45
903,655
904,655
905,655
906,500
907,45
908,655
909,655
910,500
911,69
912,655
913,500
914,45
915,45
916,45
917,79
918,655
919,655
920,8
921,500
922,655
923,655
924,500
925,655
926,45
927,655
928,80
929,45
930,655
931,655
932,655
933,45
934,81
935,655
936,655
937,45
938,82
939,45
940,500
941,500
942,45
943,410
944,500
945,36
946,655
947,500
948,500
949,655
950,508
951,500
952,419
953,45
954,655
955,500
956,655
957,655
958,655
959,655
960,83
961,45
962,655
963,655
964,655
965,655
966,36
967,655
968,45
969,8
970,655
971,45
972,655
973,655
974,84
975,655
976,45
977,36
978,85
979,500
980,655
981,655
982,655
983,45
984,45
985,500
986,655
987,86
988,45
989,419
990,45
991,36
992,45
993,655
994,410
995,248
996,655
997,87
998,655
999,655
1000,8
1001,655
1002,88
1003,655
1004,36
1005,655
1006,655
1007,508
1008,655
1009,89
1010,500
1011,655
1012,655
1013,655
1014,45
1015,500
1016,655
1017,45
1018,45
1019,45
1020,655
1021,500
1022,655
1023,45
1024,655
1025,655
1026,500
1027,508
1028,655
1029,655
1030,500
1031,655
1032,655
1033,45
1034,45
1035,500
1036,655
1037,655
1038,327
1039,655
1040,8
1041,655
1042,95
1043,45
1044,655
1045,655
1046,500
1047,45
1048,655
1049,655
1050,500
1051,45
1052,248
1053,655
1054,655
1055,45
1056,655
1057,655
1058,45
1059,655
1060,90
1061,655
1062,45
1063,45
1064,655
1065,91
1066,45
1067,92
1068,500
1069,655
1070,93
1071,45
1072,655
1073,655
1074,45
1075,655
1076,94
1077,45
1078,95
1079,345
1080,500
1081,45
1082,45
1083,96
1084,655
1085,45
1086,500
1087,655
1088,97
1089,655
1090,45
1091,655
1092,45
1093,36
1094,655
1095,655
1096,98
1097,655
1098,45
1099,655
1100,655
1101,36
1102,45
1103,45
1104,655
1105,500
1106,655
1107,99
1108,655
1109,500
1110,655
1111,419
1112,655
1113,100
1114,500
1115,500
1116,101
1117,45
